bmi count
13.44 1
13.51 1
14.12 1
14.75 1
15.2 1
15.36 1
15.67 1
15.68 1
15.92 1
15.98 2
16.05 1
16.12 1
16.14 1
16.15 1
16.21 2
16.33 1
16.44 1
16.49 1
16.5 1
16.55 1
16.66 1
16.72 1
16.74 1
16.76 1
16.77 2
16.8 1
16.89 1
16.94 1
16.95 1
16.98 1
17.04 2
17.12 3
17.13 1
17.14 1
17.15 1
17.17 1
17.2 1
17.21 1
17.24 1
17.25 1
17.29 1
17.3 1
17.32 1
17.34 1
17.38 2
17.41 2
17.45 1
17.47 2
17.48 1
17.49 1
17.5 1
17.54 1
17.55 1
17.56 1
17.59 1
17.6 1
17.62 1
17.64 1
17.65 1
17.67 3
17.7 1
17.71 3
17.73 2
17.74 2
17.75 1
17.78 2
17.79 1
17.81 1
17.83 1
17.86 2
17.87 1
17.9 1
17.92 1
17.94 1
17.96 1
17.97 1
17.98 1
17.99 2
18 1
18.02 1
18.03 1
18.04 1
18.05 2
18.06 4
18.07 1
18.1 1
18.11 3
18.12 1
18.16 1
18.18 1
18.19 1
18.2 1
18.21 1
18.24 1
18.27 1
18.32 2
18.34 1
18.35 1
18.36 2
18.37 1
18.39 1
18.4 1
18.41 1
18.42 1
18.45 1
18.47 1
18.48 1
18.53 1
18.57 1
18.6 1
18.61 1
18.63 1
18.65 1
18.66 1
18.67 1
18.75 3
18.76 1
18.78 1
18.8 1
18.81 1
18.82 1
18.83 1
18.84 1
18.86 2
18.88 1
18.89 2
18.91 1
18.92 3
18.94 2
18.95 1
18.97 5
18.98 2
18.99 3
19.01 1
19.02 3
19.03 1
19.06 1
19.08 2
19.1 1
19.11 1
19.12 3
19.13 1
19.14 1
19.16 2
19.18 1
19.2 1
19.21 3
19.22 2
19.23 1
19.24 1
19.25 1
19.26 3
19.27 3
19.28 1
19.29 1
19.3 2
19.31 3
19.32 1
19.33 1
19.34 1
19.35 2
19.36 1
19.38 1
19.39 1
19.4 1
19.44 1
19.45 1
19.47 4
19.48 2
19.5 1
19.51 1
19.52 2
19.53 1
19.54 3
19.56 1
19.61 2
19.63 1
19.64 1
19.65 1
19.67 1
19.68 3
19.69 1
19.7 1
19.71 1
19.73 1
19.74 2
19.75 1
19.77 1
19.78 5
19.79 1
19.8 1
19.81 2
19.82 1
19.83 2
19.84 2
19.85 1
19.86 2
19.88 1
19.89 2
19.9 3
19.91 3
19.92 2
19.93 1
19.95 2
19.96 3
19.97 1
19.98 1
19.99 1
20 1
20.02 2
20.03 1
20.04 5
20.05 1
20.06 1
20.08 2
20.09 1
20.1 1
20.11 2
20.12 2
20.13 2
20.14 1
20.15 1
20.17 2
20.18 1
20.19 4
20.2 2
20.21 2
20.22 1
20.23 2
20.26 3
20.27 3
20.3 3
20.32 2
20.34 2
20.35 2
20.36 3
20.37 2
20.38 5
20.39 2
20.4 2
20.41 3
20.42 1
20.44 1
20.45 1
20.47 1
20.48 5
20.49 3
20.5 1
20.52 1
20.53 2
20.54 2
20.56 2
20.59 2
20.6 3
20.61 1
20.62 2
20.64 2
20.65 2
20.66 1
20.67 1
20.69 3
20.7 2
20.72 1
20.73 3
20.74 4
20.75 1
20.76 4
20.77 5
20.78 2
20.79 4
20.8 1
20.82 2
20.84 1
20.85 2
20.87 1
20.88 6
20.9 1
20.91 5
20.92 4
20.93 1
20.94 1
20.96 2
20.97 4
20.98 2
20.99 1
21 1
21.01 2
21.03 3
21.04 2
21.05 2
21.06 1
21.07 3
21.08 2
21.1 1
21.11 5
21.12 3
21.13 1
21.14 4
21.15 4
21.16 3
21.18 2
21.19 1
21.2 3
21.21 2
21.22 1
21.23 2
21.24 1
21.25 1
21.26 2
21.27 5
21.3 4
21.31 4
21.32 2
21.33 1
21.34 4
21.35 2
21.37 1
21.38 1
21.39 2
21.41 2
21.42 4
21.43 4
21.44 1
21.45 3
21.46 4
21.47 3
21.49 2
21.5 2
21.51 4
21.52 3
21.53 3
21.56 3
21.57 8
21.58 1
21.6 2
21.61 1
21.62 1
21.63 3
21.64 5
21.65 5
21.66 2
21.67 3
21.68 1
21.69 2
21.7 2
21.71 1
21.72 2
21.73 1
21.74 3
21.75 2
21.76 4
21.77 1
21.78 2
21.79 3
21.81 3
21.82 1
21.83 2
21.84 1
21.85 1
21.86 3
21.87 2
21.88 1
21.89 4
21.9 4
21.91 5
21.92 4
21.93 6
21.94 1
21.95 3
21.96 6
21.97 6
21.98 2
21.99 2
22 3
22.01 1
22.02 2
22.03 5
22.04 5
